name,address,open_time,close_time,machine_count,location
ガチャガチャの森 イオンモール熱田店,愛知県名古屋市熱田区六野1-2-11 イオンモール熱田 3F,10:00:00,21:00:00,700,"(136.9125, 35.1378)"
ガシャポンバンダイオフィシャルショップ 未来屋書店大高店,愛知県名古屋市緑区南大高2-450 イオンモール大高 3F,10:00:00,21:00:00,300,"(136.9531, 35.0642)"
#C-pla 名古屋サカエチカ店,愛知県名古屋市中区栄3-4-6先 サカエチカ,10:00:00,20:00:00,550,"(136.9080, 35.1685)"
#C-pla 名古屋PARCO店,愛知県名古屋市中区栄3-29-1 名古屋PARCO 西館6F,10:00:00,21:00:00,800,"(136.9078, 35.1620)"
ドリームカプセル イオンモールナゴヤドーム前店,愛知県名古屋市東区矢田南4-102-3 イオンモールナゴヤドーム前 3F,10:00:00,21:00:00,600,"(136.9472, 35.1872)"
ガチャガチャの森 名古屋太閤通口店,愛知県名古屋市中村区椿町6-9 エスカ地下街,10:00:00,20:30:00,500,"(136.8812, 35.1702)"
ガシャポンのデパート 名古屋みなと店,愛知県名古屋市港区品川町2-1-6 イオンモール名古屋みなと 3F,10:00:00,21:00:00,1000,"(136.8645, 35.1022)"
ガシャポンバンダイオフィシャルショップ ららぽーと名古屋みなとアクルス店,愛知県名古屋市港区港明2-3-2 ららぽーと名古屋みなとアクルス 3F,10:00:00,20:00:00,600,"(136.8839, 35.1105)"
ドリームカプセル イオンモール熱田店,愛知県名古屋市熱田区六野1-2-11 イオンモール熱田 3F,10:00:00,21:00:00,450,"(136.9125, 35.1378)"
ドリームカプセル イオンモール大高店,愛知県名古屋市緑区南大高2-450 イオンモール大高 3F,10:00:00,21:00:00,500,"(136.9531, 35.0642)"
ガチャガチャの森 イオンモール長久手店,愛知県長久手市勝手568 イオンモール長久手 4F,10:00:00,21:00:00,700,"(137.0503, 35.1728)"
ガシャポンバンダイオフィシャルショップ TSUTAYA BOOKSTORE 名鉄イン名古屋駅前店,愛知県名古屋市中村区名駅2-38-2,10:00:00,22:00:00,350,"(136.8833, 35.1742)"
#C-pla イオンモールNagoya Noritake Garden店,愛知県名古屋市西区則武新町3-1-17 イオンモールNagoya Noritake Garden 3F,10:00:00,21:00:00,650,"(136.8808, 35.1802)"
ドリームカプセル MASAKA PARK mozoワンダーシティ店,愛知県名古屋市西区二方町40 mozoワンダーシティ 4F,10:00:00,21:00:00,800,"(136.8837, 35.2238)"
ビックカメラ 名古屋駅西店 ガチャガチャコーナー,愛知県名古屋市中村区椿町6-9,10:00:00,21:00:00,400,"(136.8805, 35.1706)"
ヤマダデンキ LABI名古屋 ガチャガチャコーナー,愛知県名古屋市中村区名駅1-2-5,10:00:00,20:00:00,300,"(136.8847, 35.1689)"
